排名,片名,分数,评价人数,简评,导演,主演,年份,国家/地区,类型
202,终结者2：审判日/Terminator2:JudgmentDay/终结者2/终结者2：末日审判,8.7,243261,少见的超越首部的续集，动作片中的经典。, 詹姆斯·卡梅隆 James Cameron, 阿诺·施瓦辛格 Arnold Schwarz...,1991,美国 法国,动作 科幻
203,魂断蓝桥/WaterlooBridge/滑铁卢桥/断桥残梦,8.8,191554,中国式内在的美国电影。, 茂文·勒鲁瓦 Mervyn LeRoy, 费雯·丽 Vivien Leigh / 罗伯特·...,1940,美国,剧情 爱情 战争
204,爱在午夜降临前/BeforeMidnight/爱在午夜希腊时(台)/情约半生(港),8.8,214037,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。, 理查德·林克莱特 Richard Linklater, 伊桑·霍克 Ethan Hawke ...,2013,美国 希腊,剧情 爱情
205,穿越时空的少女/時をかける少女/跳跃吧！时空少女(台)/Tokiokakerush?jo,8.6,286438,爱上未来的你。, 细田守 Mamoru Hosoda, 仲里依纱 Riisa Naka / 石田卓也 Takuya...,2006,日本,剧情 爱情 科幻 动画
206,初恋这件小事/???????????????????????...???/初恋那件小事(港)/暗恋那点小事,8.4,737749,黑小鸭速效美白记。," 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...
2010?/?泰国?/?剧情 喜剧 爱情",,2010,泰国,剧情 喜剧 爱情
207,可可西里/Kekexili:MountainPatrol,8.8,201632,坚硬的信仰。, 陆川 Chuan Lu, 多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...,2004,中国大陆 中国香港,剧情 犯罪
208,小偷家族/万引き家族/Shoplifters/UneAffairedeFamille,8.7,559167,我们组成了家。, 是枝裕和 Hirokazu Koreeda, 中川雅也 Lily Franky / 安藤樱 Sa...,2018,日本,剧情 犯罪 家庭
209,绿里奇迹/TheGreenMile/绿色奇迹(台)/绿色英里,8.8,183183,天使暂时离开。, Frank Darabont, 汤姆·汉克斯 Tom Hanks / 大卫·摩斯 David M...,1999,美国,犯罪 剧情 奇幻 悬疑
210,2001太空漫游/2001:ASpaceOdyssey/2001：星际漫游/2001：太空奥德赛,8.8,191081,现代科幻电影的开山之作，最伟大导演的最伟大影片。, 斯坦利·库布里克 Stanley Kubrick, 凯尔·杜拉 Keir Dullea / ...,1968,英国 美国,科幻 惊悚 冒险
211,完美陌生人/Perfettisconosciuti/完美谎情(港)/波动的信息分享,8.5,388679,来啊，互相伤害啊！, 保罗·格诺维瑟 Paolo Genovese, 马可·贾利尼 Marco Giallini ...,2016,意大利,剧情 喜剧
212,牯岭街少年杀人事件/牯嶺街少年殺人事件/ABrighterSummerDay,8.8,176314,弱者送给弱者的一刀。, 杨德昌 Edward Yang, 张震 Chen Chang / 杨静怡 Lisa Yang / 张...,1991,中国台湾,剧情 犯罪
213,无耻混蛋/InglouriousBasterds/恶棍特工(台)/希魔撞正杀人狂(港),8.6,342485,昆汀同学越来越变态了，比北野武还杜琪峰。, Quentin Tarantino, 布拉德·皮特 Brad Pitt / 梅拉尼·罗兰 M...,2009,德国 美国,剧情 犯罪
214,阿飞正传/阿飛正傳/DaysofBeingWild,8.5,343801,王家卫是一种风格，张国荣是一个代表。, 王家卫 Kar Wai Wong, 张国荣 Leslie Cheung / 张曼玉 Maggie C...,1990,中国香港,犯罪 剧情 爱情
215,香水/Perfume:TheStoryofaMurderer/香水：一个杀人犯的故事/香水：一个谋杀犯的故事,8.5,408407,一个单凭体香达到高潮的男人。, 汤姆·提克威 Tom Tykwer, 本·卫肖 Ben Whishaw / 艾伦·瑞克...,2006,德国 法国 西班牙 美国,剧情 犯罪 奇幻
216,新龙门客栈/新龍門客棧/NewDragonGateInn,8.6,306284,嬉笑怒骂，调风动月。, 李惠民 Raymond Lee, 张曼玉 Maggie Cheung / 林青霞 Brigitte ...,1992,中国香港 中国大陆,动作 爱情 武侠 古装
217,源代码/SourceCode/启动原始码(台)/危机解密(港),8.4,588042,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。, 邓肯·琼斯 Duncan Jones, 杰克·吉伦哈尔 Jake Gyllenhaal / ...,2011,美国 加拿大,科幻 悬疑 惊悚
218,谍影重重2/TheBourneSupremacy/叛谍追击2：机密圈套(港)/神鬼认证：神鬼疑云(台),8.6,252431,谁说王家卫镜头很晃？, 保罗·格林格拉斯 Paul Greengrass, 马特·达蒙 Matt Damon / ...,2004,美国 德国,动作 悬疑 惊悚
219,城市之光/CityLights/CityLights:AComedyRomanceinPantomime/LichterderGro?stadt,9.3,83586,永远的小人物，伟大的卓别林。, Charles Chaplin, 查理·卓别林 Charles Chaplin / 弗吉尼亚·...,1931,美国,喜剧 剧情 爱情
220,谍影重重/TheBourneIdentity/叛谍追击(港)/神鬼认证(台),8.6,301777,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。, 道格·里曼 Doug Liman, 马特·达蒙 Matt Damon / 弗兰卡·波坦...,2002,美国 德国 捷克,动作 悬疑 惊悚
221,猜火车/Trainspotting/迷幻列车(港)/定位的火车,8.5,332840,不可猜的青春迷笛。, 丹尼·博伊尔 Danny Boyle, 伊万·麦克格雷格 Ewan McGregor / ...,1996,英国,剧情 犯罪
222,青蛇/GreenSnake,8.5,352468,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。, 徐克 Hark Tsui, 张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...,1993,中国香港,剧情 爱情 奇幻 古装
223,战争之王/LordofWar/军火之王(台/港),8.6,254696,做一颗让别人需要你的棋子。, 安德鲁·尼科尔 Andrew Niccol, 尼古拉斯·凯奇 Nicolas Cage /...,2005,美国 法国,剧情 犯罪
224,地球上的星星/TaareZameenPar/心中的小星星(台)/每一个孩子都是特别的,8.9,143725,天使保护事件始末。, 阿米尔·汗 Aamir Khan, 达席尔·萨法瑞 Darsheel Safary / 阿...,2007,印度,剧情 儿童 家庭
225,血钻/BloodDiamond/血钻石(台)/血腥钻石,8.6,242911,每个美丽事物背后都是滴血的现实。, 爱德华·兹威克 Edward Zwick, 莱昂纳多·迪卡普里奥 Leonardo ...,2006,美国 德国,剧情 惊悚 冒险
226,朗读者/TheReader/为爱朗读(台)/读爱(港),8.6,362448,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。, 史蒂芬·戴德利 Stephen Daldry, 凯特·温丝莱特 Kate Winslet ...,2008,美国 德国,剧情 爱情
227,浪潮/DieWelle/恶魔教室(台)/白恤暴潮(港),8.7,197056,世界离独裁只有五天。, 丹尼斯·甘塞尔 Dennis Gansel, 尤尔根·沃格尔 Jürgen Vogel ...,2008,德国,剧情 惊悚
228,色，戒/色|戒/色·戒,8.4,459405,假戏真情，爱欲深海, 李安 Ang Lee, 梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ...,2007,中国台湾 中国大陆 美国 中国香港,剧情 爱情 情色
229,彗星来的那一夜/Coherence/相干性/相干效应,8.5,342820,小成本大魅力。, 詹姆斯·沃德·布柯特 James Ward Byrkit, 艾米丽·芭尔多尼 Em...,2013,美国 英国,科幻 悬疑 惊悚
230,遗愿清单/TheBucketList/玩转身前事(港)/一路玩到挂(台),8.6,249648,用剩余不多的时间，去燃烧整个生命。, 罗伯·莱纳 Rob Reiner, 杰克·尼科尔森 Jack Nicholson / 摩根...,2007,美国,冒险 喜剧 剧情
231,疯狂的麦克斯4：狂暴之路/MadMax:FuryRoad/末日先锋：战甲飞车(港)/疯狂麦斯：愤怒道(台),8.6,354430,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~, 乔治·米勒 George Miller, 汤姆·哈迪 Tom Hardy / 查理兹·塞...,2015,澳大利亚 美国,动作 科幻 冒险
232,大佛普拉斯/TheGreatBuddha+,8.7,256362,人们可以登上月球，却永远无法探索人们内心的宇宙。, 黄信尧 Hsin-yao Huang, 庄益增 Yizeng Zhuang / 陈竹昇 Chu-sh...,2017,中国台湾,剧情 喜剧 犯罪
233,步履不停/歩いても歩いても/横山家之味(港/台),8.8,172161,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。, 是枝裕和 Hirokazu Koreeda, 阿部宽 Hiroshi Abe / 夏川结衣 Yu...,2008,日本,剧情 家庭
234,小萝莉的猴神大叔/BajrangiBhaijaan/娃娃返乡任务(台)/宝莱坞之钢铁奶爸(台),8.4,338510,宝莱坞的萝莉与大叔。, 卡比尔·汗 Kabir Khan, 萨尔曼·汗 Salman Khan / 哈莎莉·马...,2015,印度,剧情 喜剧 动作
235,再次出发之纽约遇见你/BeginAgain/再次出发/歌曲改变人生,8.5,290352,爱我就给我看你的播放列表。, 约翰·卡尼 John Carney, 凯拉·奈特莉 Keira Knightley / 马克...,2013,美国,喜剧 爱情 音乐
236,聚焦/Spotlight/焦点追击(港)/惊爆焦点(台),8.8,201807,新闻人的理性求真。, 托马斯·麦卡锡 Thomas McCarthy, 马克·鲁弗洛 Mark Ruffalo /...,2015,美国,剧情 传记
237,追随/Following/跟踪(台)/致命追踪,8.9,126689,诺兰的牛逼来源于内心散发出的恐惧。, 克里斯托弗·诺兰 Christopher Nolan, 杰里米·西奥伯德 Jeremy...,1998,英国,犯罪 悬疑 惊悚
238,东京物语/東京物語/东京故事/TokyoStory,9.2,87137,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。, 小津安二郎 Yasujir? Ozu, 笠智众 Chish? Ry? / 原节...,1953,日本,剧情 家庭
239,驴得水/Mr.Donkey,8.3,634136,过去的如果就让它过去了，未来只会越来越糟！, 周申 Shen Zhou / 刘露 Lu Liu, 任素汐 Suxi Ren / 大力 Da Li ...,2016,中国大陆,剧情 喜剧
240,一次别离/????????????????/分居风暴(台)/伊朗式分居(港),8.7,190817,只有有信仰的人才能说出事实真相。, 阿斯哈·法哈蒂 Asghar Farhadi, 佩曼·莫阿迪 Peyman Moadi /...,2011,伊朗 法国,剧情 家庭
241,黑鹰坠落/BlackHawkDown/黑鹰15小时(港)/黑鹰计划(台),8.7,201606,还原真实而残酷的战争。, 雷德利·斯科特 Ridley Scott, 乔什·哈奈特 Josh Hartnett / ...,2001,美国,动作 历史 战争
242,千钧一发/Gattaca/变种异煞/自然人,8.8,163810,一部能引人思考的科幻励志片。, 安德鲁·尼科尔 Andrew Niccol, 伊桑·霍克 Ethan Hawke / 乌玛...,1997,美国,剧情 科幻 惊悚
243,我爱你/????????/爱你/爱，是一生相伴(台),9,104173,你要相信，这世上真的有爱存在，不管在什么年纪, 秋昌民 Chang-min Choo, 宋在河 Jae-ho Song / 李顺载 Soon-jae...,2011,韩国,剧情 爱情
244,发条橙/AClockworkOrange/发条桔子/发条橙子,8.5,272603,我完全康复了。, Stanley Kubrick, Malcolm McDowell / Patrick Magee / Michael...,1971,英国 美国,犯罪 剧情 科幻
245,四个春天/FourSprings,8.9,112259,来也匆匆去也匆匆，就这样风雨兼程。, 陆庆屹 Lu Qing Yi, 陆运坤 Yunkun Lu / 李桂贤 Guixian Li / ...,2017,中国大陆,纪录片 家庭
246,网络谜踪/Searching/人肉搜寻(港)/人肉搜索(台),8.6,365255,, 阿尼什·查甘蒂 Aneesh Chaganty, 约翰·赵 John Cho / 米切尔...,2018,美国 俄罗斯,剧情 犯罪 悬疑 惊悚
247,E.T.外星人/E.T.:TheExtra-Terrestrial/外星人E.T./外星人,8.6,249246,生病的E.T.皮肤的颜色就像柿子饼。, 史蒂文·斯皮尔伯格 Steven Spielberg, 亨利·托马斯 Henry Tho...,1982,美国,剧情 科幻
248,撞车/Crash/冲击效应/冲撞,8.6,244428,天使与魔鬼的冲撞。, 保罗·哈吉斯 Paul Haggis, 桑德拉·布洛克 Sandra Bullock / ...,2004,美国 德国,犯罪 剧情
249,变脸/Face/Off/夺面双雄/夺命双雄,8.5,310272,当发哥的风衣、墨镜出现在了凯奇身上??, 吴宇森 John Woo, 约翰·特拉沃尔塔 John Travolta / 尼古拉斯...,1997,美国,动作 科幻 犯罪 惊悚
250,梦之安魂曲/RequiemforaDream/噩梦挽歌(台)/迷上瘾(港),8.7,160244,一场没有春天的噩梦。, 达伦·阿伦诺夫斯基 Darren Aronofsky, 艾伦·伯斯汀 Ellen Bur...,2000,美国,剧情
