排名,片名,分数,评价人数,简评,导演,主演,年份,国家/地区,类型
123,甜蜜蜜/Comrades:AlmostaLoveStory,8.8,355055,相逢只要一瞬间，等待却像是一辈子。, 陈可辛 Peter Chan, 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,1996,中国香港,剧情 爱情
124,驯龙高手/HowtoTrainYourDragon/驯龙记(港),8.7,524159,和谐的生活离不开摸头与被摸头。, 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,...,2010,美国,动画 奇幻 冒险
125,萤火之森/蛍火の杜へ/萤火之社/Hotarubinomorie,8.9,332239,触不到的恋人。, 大森贵弘 Takahiro Omori, 佐仓绫音 Ayane Sakura / 内山昂辉 K...,2011,日本,剧情 爱情 动画 奇幻
126,恐怖直播/??????/死亡“动”新闻(港)/恐怖攻击直播(台),8.8,428432,恐怖分子的“秋菊打官司”。, 金秉祐 Byeong-woo Kim, 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,2013,韩国,剧情 犯罪 悬疑
127,菊次郎的夏天/菊次郎の夏/Kikujir?nonatsu/菊次郎的夏天,8.8,348166,从没见过那么流氓的温柔，从没见过那么温柔的流氓。, 北野武 Takeshi Kitano, 北野武 Takeshi Kitano / 关口雄介 Yus...,1999,日本,剧情 喜剧
128,幸福终点站/TheTerminal/机场客运站(港)/航站情缘(台),8.8,370450,有时候幸福需要等一等。, 史蒂文·斯皮尔伯格 Steven Spielberg, 汤姆·汉克斯 Tom Hanks...,2004,美国,喜剧 剧情 爱情
129,超能陆战队/BigHero6/大英雄联盟(港)/大英雄天团(台),8.7,677105,Balalala~~~, 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams, 斯科特...,2014,美国,喜剧 动作 科幻 动画 冒险
130,无人知晓/誰も知らない/谁知赤子心(港)/无人知晓的夏日清晨(台),9.1,179527,我的平常生活就是他人的幸福。, 是枝裕和 Hirokazu Koreeda, 柳乐优弥 Y?ya Yagira / 北浦爱...,2004,日本,剧情
131,爱在日落黄昏时/BeforeSunset/日落巴黎(港)/爱在日落巴黎时(台),8.8,342834,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。, 理查德·林克莱特 Richard Linklater, 伊桑·霍克 Ethan Hawke ...,2004,美国 法国,剧情 爱情
132,借东西的小人阿莉埃蒂/借りぐらしのアリエッティ/借物少女艾莉缇(台)/借东西的小矮人亚莉亚蒂(港),8.8,368690,曾经的那段美好会沉淀为一辈子的记忆。, 米林宏昌 Hiromasa Yonebayashi, 志田未来 Mirai Shida / 神木...,2010,日本,动画 奇幻 冒险
